127.0.0.1 - - [14/Apr/2021:23:48:41 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:42 +0100] "GET /norestforthebassist/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:42 +0100] "GET /norestforthebassist/resources/images/fretboard_1000.png HTTP/1.1" 200 288274
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:42 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:42 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:42 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:44 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:47 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:47 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:47 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:47 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:47 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:47 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:49 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:48:49 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/resources/json/scales.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/resources/images/scrollleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/resources/images/bassscore.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:09 +0100] "GET /norestforthebassist/resources/images/scrollright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:10 +0100] "GET /norestforthebassist/resources/audio/drones/C_bass_drone.mp3 HTTP/1.1" 206 188067
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:10 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:39 +0100] "GET /norestforthebassist/scales.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:40 +0100] "GET /norestforthebassist/cmajor.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:49:40 +0100] "GET /norestforthebassist/resources/js/differentscales.js HTTP/1.1" 304 -
